Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.22167206,88.29268646,88.29268646,88.34951782,87.37863922,83.25358582,83.33333588,82.93838501,82.46445465,82.46445465,81.7307663,88.09523773,88.57142639,87.61904907,87.14286041,83.80952454,85.23809814,78.57142639,77.83018494
Africa Eastern and Southern,AFE,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.301075459,,8.021389961,,4.787233829,,4.761904716,4.761904716,6.403940678,1.463414669,1.951219559,0.970873773,0.485436887,0.95693779,0.952380955,0.473933637,1.421800971,0.947867274,5.288461685,5.714285851,3.809523821,3.809523821,4.761904716,5.714285851,4.761904716,12.38095284,12.26415062
Africa Western and Central,AFW,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.677419662,,7.486630917,,8.510638237,,7.936507702,5.291005135,5.911330223,6.341463566,7.804878235,5.339805603,4.368932247,2.87081337,3.809523821,3.317535639,4.739336491,4.739336491,3.846153736,4.285714149,4.761904716,5.714285851,10.95238113,13.80952358,18.5714283,29.04761887,30.6603775
Albania,ALB,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35483932,,18.18181801,,23.93617058,,24.33862495,22.7513237,27.58620644,22.92682838,22.92682838,28.64077759,33.98058319,34.92823029,37.1428566,24.64455032,25.11848259,24.17061615,34.13461685,36.19047546,37.61904907,40.47618866,33.33333206,32.38095093,31.4285717,31.90476227,38.679245
Andorra,AND,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.09677124,,89.30480957,,88.29787445,,87.83068848,88.35978699,84.2364502,88.29268646,88.29268646,88.34951782,87.37863922,87.55980682,88.09523773,87.20378876,87.20378876,86.7298584,87.0192337,85.7142868,87.14286041,86.19047546,86.19047546,87.14286041,88.57142639,88.57142639,88.679245
Arab World,ARB,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.52688217,,55.61497498,,59.57446671,,83.06878662,76.19047546,83.74384308,80.48780823,78.04878235,80.09708405,82.03883362,78.46890259,78.57142639,81.04265594,82.93838501,87.20378876,83.17308044,81.42857361,82.85713959,81.90476227,82.85713959,81.90476227,82.38095093,83.33333588,83.49056244
Argentina,ARG,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.76343918,,50.26737976,,52.12765884,,41.79894257,40.2116394,39.90147781,43.4146347,43.4146347,44.17475891,39.80582428,40.19138718,44.76190567,43.60189438,40.28435898,40.75829315,35.57692337,33.80952454,45.7142868,44.2857132,53.80952454,52.8571434,47.61904907,38.09523773,36.320755
Armenia,ARM,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.17204285,,21.92513275,,25,,28.04232788,31.74603081,28.5714283,29.75609779,29.75609779,26.21359253,28.15534019,30.14354134,27.61904716,27.48815155,33.175354,36.01895905,35.09615326,31.4285717,30.95238113,30,40,48.09523773,56.19047546,57.61904907,56.13207626
American Samoa,ASM,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.84729004,77.56097412,64.87805176,66.01941681,65.53398132,68.42105103,67.61904907,66.824646,65.87677765,65.87677765,87.0192337,85.7142868,87.14286041,93.80952454,93.33333588,94.2857132,88.57142639,88.57142639,88.679245
Antigua and Barbuda,ATG,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.10752869,,80.74866486,,81.38298035,,80.42327881,79.36508179,78.81773376,73.65853882,83.4146347,84.46601868,87.37863922,87.55980682,88.09523773,87.20378876,87.20378876,86.7298584,72.11538696,72.38095093,71.90476227,60.95238113,61.90476227,61.90476227,60.95238113,60.95238113,63.20754623
Australia,AUS,Control of Corruption: Percentile Rank,CC.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.54838562,,92.5133667,,93.61701965,,92.06349182,93.65079498,96.55172729,95.60975647,95.12194824,95.63106537,96.11650848,96.17224884,95.23809814,96.20853424,95.73459625,93.83885956,95.19230652,94.76190186,93.33333588,92.85713959,92.38095093,94.76190186,93.80952454,94.76190186,95.28302002
