Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.05970001,88.23529053,87.80487823,87.37863922,86.40776825,89.95215607,85.64593506,85.30805969,85.78199005,85.30805969,75.4807663,75.7142868,76.66666412,78.09523773,80,80,83.80952454,82.85713959,82.07546997
Africa Eastern and Southern,AFE,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,2.162162066,9.729729652,16.91542244,9.313725471,4.390244007,4.368932247,3.398058176,2.87081337,3.82775116,4.739336491,5.687203884,6.161137581,7.211538315,6.666666508,7.619047642,7.142857075,7.142857075,6.666666508,5.238095284,5.238095284,1.886792421
Africa Western and Central,AFW,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.31147575,,15.8469944,,12.02185822,,9.729729652,12.43243217,4.975124359,12.74509811,5.365853786,10.19417477,14.56310654,19.1387558,11.00478458,9.004739761,17.53554535,9.952606201,14.90384579,18.09523773,15.23809528,17.1428566,14.76190472,11.90476227,9.523809433,12.38095284,13.20754719
Albania,ALB,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.68305969,,24.59016418,,19.67213058,,30.27026939,35.13513565,44.27860641,29.90196037,34.14634323,41.26213455,42.71844482,48.80382919,44.01913834,48.3412323,44.54976273,44.07582855,53.36538315,54.2857132,55.23809433,57.61904907,55.23809433,49.04761887,48.09523773,50.95238113,56.60377502
Andorra,AND,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.52458954,,87.97814178,,87.97814178,,88.10810852,88.10810852,90.04975128,88.23529053,89.75609589,90.29125977,90.77669525,91.86602783,89.95215607,90.52132416,91.4691925,92.41706085,95.19230652,95.7142868,96.66666412,98.09523773,98.57142639,98.09523773,95.7142868,97.14286041,92.45282745
Arab World,ARB,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.04917908,,77.04917908,,77.59562683,,76.75675964,68.10810852,74.6268692,73.03921509,79.51219177,79.61164856,78.1553421,79.9043045,77.99043274,81.99052429,83.88625336,83.412323,88.94230652,90.47618866,90,89.52381134,90.47618866,89.04762268,87.14286041,89.52381134,88.679245
Argentina,ARG,Government Effectiveness: Percentile Rank,GE.PER.RNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.10929108,,63.93442535,,54.64480972,,48.10810852,55.13513565,57.21393204,52.94117737,53.658535,53.88349533,52.42718506,47.36841965,51.67464066,53.55450058,46.44549942,45.49763107,49.51922989,50.95238113,63.80952454,58.57143021,52.8571434,48.09523773,43.33333206,37.1428566,41.98113251
